gene,PM,MM,BN,SN,PMN
ENSG00000142655,3.1915298,2.7751616,2.8718838,1.5372408,0.4892284
ENSG00000142657,198.221,354.4658,481.9804,349.4799,164.5806
ENSG00000142669,26.37343,77.50335,127.58494,179.21246,157.92337
ENSG00000142765,38.02187,58.69629,75.97444,44.52755,29.87229
ENSG00000142864,77.48032,46.65831,39.40851,26.98914,18.954
ENSG00000142892,19.44301,14.113049,11.145073,6.120037,4.233725
ENSG00000142937,828.55146,309.10776,208.46998,180.7601,24.27897
ENSG00000142945,19.058695,14.701467,4.867387,2.036605,0.112262
ENSG00000143106,20.08087,13.41076,12.65083,11.85925,12.0255
ENSG00000143149,10.2142,8.83427,10.44354,19.61596,30.25085
ENSG00000143155,15.7976,14.40599,12.5559,11.15957,15.70435
ENSG00000143158,48.02909,60.85835,47.34877,22.99086,28.72795
ENSG00000143162,39.54915,18.2245,15.98167,20.67284,17.49987
ENSG00000143183,28.16808,28.16552,26.84878,20.41138,21.00283
ENSG00000143198,19.782666,8.317841,7.070862,6.308611,2.790167
ENSG00000143222,40.23939,29.371728,22.289474,12.587922,8.812567
ENSG00000143226,9.77811,32.66187,86.71116,734.30255,1454.53633
ENSG00000143252,26.02901,27.23807,31.91285,23.08699,21.5866
ENSG00000143256,9.143182,8.486726,7.3967,4.477167,6.552025
ENSG00000143321,184.31511,108.91753,71.01857,37.85584,34.03365
ENSG00000143337,64.08722,90.61152,109.38193,79.53792,71.40443
ENSG00000143353,8.915274,9.925505,10.020561,20.15525,19.867619
ENSG00000143368,12.89514,13.51594,11.54845,11.15189,15.27232
ENSG00000143376,10.82641,24.43816,46.22331,62.28786,65.21258
ENSG00000143409,4.33686,23.30455,42.51703,61.67023,80.60183
ENSG00000143418,51.39267,47.15451,52.20833,76.80354,95.24737
ENSG00000143420,53.44042,72.28917,75.5041,60.76223,60.64317
ENSG00000143442,17.68951,20.38692,22.93695,22.43708,21.89342
ENSG00000143493,11.8812189,4.5546826,2.3905869,1.7925801,0.6129918
ENSG00000143545,35.1749137,18.508148,4.7449298,2.253929,0.3354826
ENSG00000143546,6028.489,60662.89,65263.728,28346.073,9795.756
ENSG00000143553,12.007923,15.958049,14.688238,6.857405,4.373068
ENSG00000143554,12.104828,19.512141,11.609727,8.261242,7.871434
ENSG00000143569,35.19108,33.069,30.6675,35.924,49.86687
ENSG00000143614,3.457098,4.147596,4.779809,8.632121,13.355404
ENSG00000143621,64.66599,36.900995,27.945994,13.497769,4.572606
ENSG00000143624,14.83014,14.14504,14.87993,21.68639,25.84485
ENSG00000143641,16.249305,15.045988,15.755139,9.725237,6.819766
ENSG00000143653,14.133792,5.960466,15.732924,10.025334,1.089928
ENSG00000143669,156.3403,114.4839,134.1521,291.8967,333.4909
ENSG00000143727,24.25026,17.084903,10.937675,6.431604,2.209283
ENSG00000143742,101.33154,160.92774,128.76912,66.68152,37.67778
ENSG00000143753,37.39153,78.50841,108.84348,60.0386,33.91367
ENSG00000143771,32.57185,34.41938,42.56999,30.24148,18.27148
ENSG00000143797,92.02777,133.05596,132.6556,121.26381,179.33419
ENSG00000143799,22.527485,7.10895,4.935265,5.612445,2.089549
ENSG00000143815,72.10353,193.87977,300.62463,322.80789,240.15611
ENSG00000143819,3.5600059,4.6318192,4.0947697,0.6817621,0.1409323
ENSG00000143851,82.37191,44.61602,41.37645,26.64352,15.29366
ENSG00000143862,8.879738,26.510333,43.954843,39.920878,37.84832
ENSG00000143870,70.00506,19.578754,12.420015,17.537156,8.051314
ENSG00000143889,69.88831,75.81576,54.30435,31.34507,27.00507
ENSG00000143891,1.383511,2.852828,3.9168,4.786717,2.726251
ENSG00000143924,30.86792,72.23743,72.70119,47.05381,39.36353
ENSG00000143947,598.188,334.8772,240.274,178.69,101.2197
ENSG00000143977,56.8875,45.80574,36.03789,23.69938,24.02994
ENSG00000144021,20.0053,18.30866,18.96982,19.9449,24.59663
ENSG00000144028,36.43623,36.12804,33.66533,29.96716,34.08892
ENSG00000144034,23.32106,18.76586,12.36662,10.03657,10.40705
ENSG00000144118,35.54694,53.30054,79.69494,117.11753,208.80084
ENSG00000144224,31.95457,38.07001,42.47643,60.1288,94.75134
ENSG00000144320,51.57419,74.09773,51.36664,34.23366,32.05565
ENSG00000144381,86.70943,38.80269,21.80719,21.58878,23.57447
ENSG00000144524,7.676249,6.549707,5.362376,3.821861,5.495795
ENSG00000144554,30.966639,14.696257,9.129511,9.942869,9.915856
ENSG00000144566,16.91522,30.55799,41.7603,60.09315,112.09507
ENSG00000144567,28.70582,37.15542,50.99499,54.5102,69.21787
ENSG00000144579,40.33959,95.73417,143.29375,133.88575,113.52457
ENSG00000144580,19.310208,11.042285,8.804482,6.02642,6.029603
ENSG00000144591,11.092159,8.284756,7.710412,4.9087,2.743356
ENSG00000144635,14.74385,20.70657,28.7483,54.34878,97.79826
ENSG00000144711,3.735157,14.228053,38.497402,66.570899,97.35422
ENSG00000144713,753.69461,378.00064,256.03401,208.9435,69.38867
ENSG00000144744,18.94493,32.16413,38.82484,58.07801,47.11707
ENSG00000144746,33.13296,63.36353,64.08484,64.01172,51.02264
ENSG00000144827,11.395185,8.054997,7.443957,4.524211,1.468044
ENSG00000144840,7.18099,5.891626,3.77565,2.858859,2.252651
